쌍,A,B,A비중,시나리오,CAGR,MDD,Calmar,Sharpe,Sortino,최악일
이평4일+이평1일,이평4일,이평1일,60,OOS 2024~2026,2.4081624826260866,-0.3427215882522451,7.02658532515222,2.481602865689315,3.6043886841551807,-0.12476215185558215
이평4일+이평1일,이평4일,이평1일,65,OOS 2024~2026,2.409411930859043,-0.34508431335712,6.982096367752298,2.4802306950593715,3.5990795194962044,-0.12414991074974213
이평4일+이평1일,이평4일,이평1일,70,OOS 2024~2026,2.4126434297617227,-0.34648177345490627,6.963262181742793,2.4757921586802745,3.583145673177189,-0.12394419169972659
이평4일+이평1일,이평4일,이평1일,75,OOS 2024~2026,2.4151681163011376,-0.3482279696158881,6.935594860358811,2.4667235488124835,3.5644174529838826,-0.12400760645320863
이평4일+이평1일,이평4일,이평1일,80,OOS 2024~2026,2.4171730867106422,-0.3501442369553758,6.9033639043406545,2.453589099628567,3.539905883365499,-0.12410474054789944
이평4일+이평1일,이평4일,이평1일,85,OOS 2024~2026,2.4189208544668888,-0.35251153974621297,6.861962182027759,2.436599072412664,3.510156822780473,-0.12609501503302223
이평4일+이평1일,이평4일,이평1일,90,OOS 2024~2026,2.421610091232701,-0.35403023716264415,6.840122218487783,2.4170943912157616,3.4772989054504557,-0.1300426247994002
이평4일+이평1일,이평4일,이평1일,95,OOS 2024~2026,2.38655918890744,-0.34845376083928203,6.8489982233487705,2.3761634508240244,3.4261137540784077,-0.1359014104954538
이평4일+중심주가,이평4일,중심주가,5,전체 2011~,0.7780672056003368,-0.35542484840931254,2.189118766126062,1.4603087835722297,2.076365675763954,-0.21934357549487926
이평4일+중심주가,이평4일,중심주가,10,전체 2011~,0.8078289938803789,-0.3476041137154757,2.3239914661700776,1.5104443620569303,2.156022020305178,-0.20209601303145597
이평4일+중심주가,이평4일,중심주가,15,전체 2011~,0.8317924554907083,-0.33974815863924956,2.4482618502545583,1.542130706666268,2.207619472794122,-0.18580565132036797
이평4일+중심주가,이평4일,중심주가,20,전체 2011~,0.8518997310439331,-0.3323743126430486,2.563073314148755,1.5622268314791772,2.237674512117913,-0.17041683999350332
이평4일+중심주가,이평4일,중심주가,25,전체 2011~,0.869212762373266,-0.32638668468321397,2.663137937801938,1.5747080790976726,2.254310852279665,-0.15581973344700595
