시나리오,전략,1티어%,CAGR,MDD,Calmar,Sharpe,Sortino,최악일,배수,거래,승률
전체 2011~,이평4일,90,0.31748698459212044,-0.869010570392869,0.3653430641799771,0.744546841659197,0.9213091332692767,-0.29366369903924383,74.362514,2034,0.6219272369714848
전체 2011~,이평4일,95,0.2875173480321125,-0.8791368628561802,0.3270450372175419,0.712926001309687,0.8710194386120382,-0.2936638714434837,51.90188366666667,2033,0.6217412690605018
전체 2011~,중심주가,1,0.738598969472295,-0.36331032351798476,2.032969947895611,1.3790662767831428,1.960712461450145,-0.23763469973300355,5672.218910333333,2800,0.5667857142857143
전체 2011~,중심주가,5,0.7133682238994676,-0.37942178477930566,1.880145665105669,1.353782688098778,1.8814029171013413,-0.2394029068732535,4513.750572666667,2800,0.5667857142857143
전체 2011~,중심주가,10,0.6795725466749525,-0.4038514014571427,1.682729202431825,1.3137273483478602,1.8444641938716546,-0.24186087692964897,3306.191706333333,2800,0.5667857142857143
전체 2011~,중심주가,15,0.6427480393728111,-0.4295631897767139,1.4962828628470475,1.2635480063829634,1.7930493854670038,-0.24466496489325906,2338.126309333333,2800,0.5667857142857143
전체 2011~,중심주가,20,0.6032315144976779,-0.4569537045572353,1.3201151637060877,1.2037817397173767,1.7177201983384247,-0.2479113073773902,1598.1221756666669,2800,0.5667857142857143
전체 2011~,중심주가,25,0.559667477270432,-0.4865908533678588,1.1501808416594461,1.1332430570638725,1.6150131452409144,-0.2517705948133554,1039.051875,2800,0.5667857142857143
전체 2011~,중심주가,30,0.5106637839026209,-0.5330095823213059,0.9580761788158348,1.0511066376427836,1.4836312490315915,-0.25647669317284594,630.9171856666667,2800,0.5667857142857143
전체 2011~,중심주가,35,0.4532146111903237,-0.598220703213181,0.7576043569806323,0.9550387727162364,1.3232799359244432,-0.2624633658544343,344.217527,2800,0.5667857142857143
전체 2011~,중심주가,40,0.3763238487405842,-0.6748494570336631,0.5576411817751709,0.8354922536180844,1.1181869886724694,-0.2704246652318196,147.18984733333332,2800,0.5667857142857143
전체 2011~,중심주가,45,0.25883022779540776,-0.7828211589338079,0.3306377514730582,0.6791324030412947,0.860720185581097,-0.2949746789569797,36.496570999999996,2797,0.5666785841973543
전체 2011~,중심주가,50,0.18782345050030846,-0.8307596419599395,0.22608639251804868,0.5963636698759522,0.7409146941352878,-0.3595185176502149,14.729792333333334,2789,0.5668698458228756
전체 2011~,중심주가,60,0.20687149313531417,-0.8573394305766796,0.24129473783349076,0.6204279482147315,0.7703990267700027,-0.35954055516499817,18.887312666666666,2760,0.5684782608695652
